Mission_ID,Mission_Desc_ID,World_Type,Mission_Type,Available,Repeat,Difficulty,Check_type,Target_ID,Count,Pre_Event_Type,Pre_Event,Pre_Mission_ID,Reward_ID,Today_Mission_Point
int,string,int,int,bool,bool,int,int,int,string,Int,Int,Int,int,int
151110101,151110101_Desc,1,1,1,1,1,1,3050102,50,0,0,0,0,1
151110102,151110102_Desc,1,1,1,1,1,1,3040101,15,0,0,0,0,1
151110201,151110201_Desc,1,1,1,1,1,2,0,3,0,0,0,0,1
151110202,151110202_Desc,1,1,1,1,1,2,801101,2,0,0,0,0,1
151110203,151110203_Desc,1,1,1,1,1,2,801102,2,3,3030201,0,0,1
151110204,151110204_Desc,1,1,1,1,1,2,801103,1,3,3030301,0,0,1
151110301,151110301_Desc,1,1,1,1,1,3,0,1,0,0,0,0,1
151110501,151110501_Desc,1,1,1,1,1,5,0,3,0,0,0,0,1
151120101,151120101_Desc,1,1,1,1,2,1,3050102,70,0,0,0,0,2
151120102,151120102_Desc,1,1,1,1,2,1,3050103,50,2,2010502,0,0,2
151120103,151120103_Desc,1,1,1,1,2,1,3040101,30,0,0,0,0,2
151120104,151120104_Desc,1,1,1,1,2,1,3040102,20,2,2010402,0,0,2
151120201,151120201_Desc,1,1,1,1,2,2,0,5,0,0,151110202,0,2
151120202,151120202_Desc,1,1,1,1,2,2,801104,5,3,3030401,0,0,2
151120203,151120203_Desc,1,1,1,1,2,2,801105,5,3,3030501,0,0,2
151120204,151120204_Desc,1,1,1,1,2,2,801106,3,3,3030601,0,0,2
151120205,151120205_Desc,1,1,1,1,2,2,801107,3,3,3030701,0,0,2
151120301,151120301_Desc,1,1,1,1,2,3,0,2,0,0,0,0,2
151120501,151120501_Desc,1,1,1,1,2,5,0,5,0,0,151110501,0,2
151130101,151130101_Desc,1,1,1,1,3,1,3050102,100,0,0,0,0,3
151130102,151130102_Desc,1,1,1,1,3,1,3050103,70,2,2010502,0,0,3
151130103,151130103_Desc,1,1,1,1,3,1,3050104,50,2,2010503,0,0,3
151130104,151130104_Desc,1,1,1,1,3,1,3040101,50,0,0,0,0,3
151130105,151130105_Desc,1,1,1,1,3,1,3040102,40,2,2010402,0,0,3
151130106,151130106_Desc,1,1,1,1,3,1,3040103,30,2,2010403,0,0,3
151130201,151130201_Desc,1,1,1,1,3,2,0,10,0,0,151120201,0,3
151130202,151130202_Desc,1,1,1,1,3,2,801107,5,3,3030701,0,0,3
151130203,151130203_Desc,1,1,1,1,3,2,801108,5,3,3030801,0,0,3
151130204,151130204_Desc,1,1,1,1,3,2,801109,3,3,3030901,0,0,3
151130205,151130205_Desc,1,1,1,1,3,2,8011010,3,3,3031001,0,0,3
151130301,151130301_Desc,1,1,1,1,3,3,0,0,0,0,0,0,3
151130501,151130501_Desc,1,1,1,1,3,5,0,10,0,0,151120501,0,3
151130601,151130601_Desc,1,1,1,1,3,6,0,2,2,2010303,0,0,3
151130602,151130602_Desc,1,1,1,1,3,6,0,2,2,2010303,0,0,3
